,0,1,2,3,4
331,"Tai Po Centre Phase 4, Tai Po, Hong Kong",,,,
332,"18 Hoi Ting Rd, Mong Kok, Hong Kong","Ho King Commercial Centre, 2-16號 Fa Yuen St, Mong Kok, Hong Kong",Hong Kong,,
333,"15-43 Braemar Hill Rd, North Point, Hong Kong",,,,
334,"23號 Austin Ave, Tsim Sha Tsui, Hong Kong",,,,
335,"152 Waterloo Road, 152 Waterloo Rd, Kowloon Tsai, Hong Kong","152 Waterloo Road, 152 Waterloo Rd, Kowloon Tsai, Hong Kong",,,
336,"Mai Ning Building, 1 Mei Fong St, Kwai Chung, Hong Kong",,,,
337,"Chau Kwai House Kwai Chung Estate, Kwai Chung, Hong Kong",,,,
338,"38號 Yiu Hing Rd, Sai Wan Ho, Hong Kong",,,,
339,"10 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong","Sui Fat Hse Siu Sai Wan Estate, Siu Sai Wan, Hong Kong",,,
340,"Broadwood Park, 38 Broadwood Rd, So Kon Po, Hong Kong",,,,
341,"Lei Tung Estate Tung Yip House, 5 Lei Tung Estate Rd, Ap Lei Chau, Hong Kong",,,,
342,"Island Building, 439-445 Hennessy Rd, Bowrington, Hong Kong",,,,
343,"1 Wan Hang Rd, Metro City, Hong Kong",,,,
344,"Wan Chai Market, 258號 Queen's Rd E, Wan Chai, Hong Kong",,,,
345,"Po Ming Building, 96-106 Percival St, Causeway Bay, Hong Kong",,,,
346,"Villa Athena Block 7, 600 Sai Sha Rd, Villa Athena, Hong Kong",,,,
347,"Fullview Garden Block 3, 18 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
348,"Yao'an Bus Terminal, Ma On Shan, Hong Kong",,,,
349,"Ting Kok Rd, Ting Kok, Hong Kong",,,,
350,"Ting Kok Rd, Ting Kok, Hong Kong",,,,
351,"Sai Keng, Ma On Shan, Hong Kong",,,,
352,"84 Hung To Rd, Kwun Tong, Hong Kong",,,,
353,Hong Kong,,,,
354,"1 Supreme Ct Rd, Admiralty, Hong Kong",,,,
355,"1 Supreme Ct Rd, Admiralty, Hong Kong",,,,
356,"1 Supreme Ct Rd, Admiralty, Hong Kong",,,,
357,"Taikoo Shing, Kao Shan Terrace Kam Shan Mansion, 5 Tai Fung Ave, Taikoo Shing, Hong Kong",,,,
358,"Stafford Rd, Kowloon Tong, Hong Kong",,,,
359,"312 Queen's Rd W, Sai Wan, Hong Kong",,,,
360,"321 Des Voeux Rd W, Sai Wan, Hong Kong",,,,
361,"Golden Valley Mansion, 135-137A Caine Rd, Tai Ping Shan, Hong Kong",,,,
362,"33號 Tai Tam Rd, Stanley, Hong Kong",,,,
363,Hong Kong,,,,
364,Hong Kong,,,,
365,"Belair Gardens Jade Heights, 52 Tai Chung Kiu Rd, Belair Gardens, Hong Kong",,,,
366,"Golden Valley Mansion, 135-137A Caine Rd, Tai Ping Shan, Hong Kong",,,,
367,"Able Building, 15 St Francis Yard, Wan Chai, Hong Kong",,,,
368,"8 Finance St, Central, Hong Kong",,,,
369,"1 Ping On Ln, Tai Ping Shan, Hong Kong",,,,
370,"Mun Tung Estate Mun Wo House, Tung Chung, Hong Kong","7 Chung Yat St, Tung Chung, Hong Kong",,,
371,"South Horizons Phase 2 Block 12 Yee Moon Court, 12 South Horizon Drive, South Horizons, Hong Kong",,,,
372,"Sing Kong Building, 233-243 Lockhart Rd, Wan Chai, Hong Kong",,,,
373,"Baguio Villa Block 25, 550 Victoria Rd, Pok Fu Lam, Hong Kong",,,,
374,"Wise Mansion, 52 Robinson Rd, Mid-Levels, Hong Kong",,,,
375,"Fo Tan, Hong Kong",,,,
376,"Tai Po, Hong Kong",,,,
377,"1 High St, Mid-Levels, Hong Kong",,,,
378,"No. 1 Oxford Road House 15, 1 Oxford Rd, Kowloon Tsai, Hong Kong",,,,
379,"6 Ming Yuen Western St, North Point, Hong Kong",,,,
380,"Marina Cove, Hong Kong",,,,
381,Hong Kong,,,,
382,"Uptown Plaza Block 3, 9 Nam Wan Road, Tai Po, Hong Kong",,,,
383,"Hang Shun Mansions, 68-82 Jaffe Rd, Wan Chai, Hong Kong",,,,
384,"Kwong Ming Court Kwong Cheong House, 108 Po Hong Rd, Tseung Kwan O, Hong Kong",,,,
385,"Hong Kong, Mui Wo, 銀鑛灣路",,,,
386,"Hang Shun Mansions, 68-82 Jaffe Rd, Wan Chai, Hong Kong",,,,
387,"King Lam Estate King Yung House, Yau Yue Wan, Hong Kong",,,,
388,"Percival House, 83 Percival St, Bowrington, Hong Kong",,,,
389,"8 Shelter St, Causeway Bay, Hong Kong",,,,
390,"1 Fung Fai Terrace, 1 Fung Fai Terrace, Happy Valley, Hong Kong",,,,
391,"Hong Kong, Lantau Island, 大嶼山",,,,
392,"Hong Lok Rd E, Hong Lok Yuen, Hong Kong",,,,
393,"Full Shing Building, 9 Sai Ching St, Yuen Long, Hong Kong",,,,
394,"260, Tsing Chuen Wai Rd, Lam Tei, Hong Kong",,,,
395,"88 Siena Avenue, Discovery Bay, Lantau Island, Hong Kong",,,,
396,"33 Tsing King Rd, Tsing Yi, Hong Kong",,,,
397,"28 Kin Chuen St, Kwai Chung, Hong Kong",,,,
398,"Sun Fung Wai, Hong Kong",,,,
399,"50 Nathan Rd, Tsim Sha Tsui, Hong Kong",,,,
400,"50 Nathan Rd, Tsim Sha Tsui, Hong Kong",,,,
401,"18 Hanoi Rd, Tsim Sha Tsui, Hong Kong",,,,
402,"Welley Building, 97 Wellington St, Central, Hong Kong",,,,
403,"Wan Chai Park, Bullock Ln, Wan Chai, Hong Kong",,,,
404,"16 Laguna Verde Ave, Hung Hom, Hong Kong",,,,
405,"Stanford Villa Block 2, 7 Stanley Village Rd, Stanley, Hong Kong",,,,
406,"Grand Promenade Tower 1, 38 Tai Hong St, Aldrich Bay, Hong Kong",,,,
407,"Liu Pok, Hong Kong",,,,
408,"9 Canton Rd, Tsim Sha Tsui, Hong Kong","Island Harbourview Block 6, 11 Hoi Fai Rd, Tai Kok Tsui, Hong Kong",,,
409,"52 Conduit Rd, Mid-Levels, Hong Kong",,,,
410,"Mai Kei Industrial Building, 5 San Hop Ln, Tuen Mun, Hong Kong",,,,
411,"Wan Tsui Rd, Chai Wan, Hong Kong",,,,
412,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
413,"Manulife Financial Centre Tower A, 223 Wai Yip St, Kwun Tong, Hong Kong",,,,
414,"Kwun Hei Court Block A, 3 Sheung Lok St, Quarry Hill, Hong Kong",,,,
415,"Nam Wa Po, Hong Kong",,,,
416,"56 Conduit Rd, Mid-Levels, Hong Kong",,,,
417,"Oriental Gardens Block B, 236-238 Prince Edward Rd W, Prince Edward, Hong Kong",,,,
418,"148 Tung Lo Wan Rd, Causeway Bay, Hong Kong",,,,
419,"Happy Valley 88, 42 Blue Pool Rd, Happy Valley, Hong Kong",,,,
420,"Hong Kong, Tsim Sha Tsui, 香港九龍尖沙咀 廣東道28號 力寶太陽廣場6樓7室",,,,
421,"345 Chai Wan Rd, Chai Wan, Hong Kong",,,,
422,"128～138號 Leighton Rd, So Kon Po, Hong Kong",,,,
423,"Caribbean Coast Phase 2 Albany Cove Tower 6, 1 Kin Tung Rd, Caribbean Coast, Hong Kong",,,,
424,"8 Chung Yan Rd, Lantau Island, Hong Kong",,,,
425,"9 Po Kin Road, Sheung Shui, Hong Kong",,,,
426,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong","Tsing Lun Road, Tuen Mun, Hong Kong",,,
427,"18 Hoi Ting Rd, Mong Kok, Hong Kong",,,,
428,"South Horizons Phase 1 Block 4 Hoi Wan Court, 4 South Horizon Drive, South Horizons, Hong Kong",,,,
429,"One Silver Sea Tower 2, 18 Hoi Fai Rd, Tai Kok Tsui, Hong Kong",,,,
430,"5 Ching Hiu Rd, Sheung Shui, Hong Kong",,,,
431,"Yee Hing Building, 357-359 Hennessy Rd, Wan Chai, Hong Kong",,,,
432,"82 Jaffe Rd, Wan Chai, Hong Kong",,,,
433,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
434,"The Harbourview, 11 Magazine Gap Rd, Mid-Levels, Hong Kong",,,,
435,"Tin Heng Estate Heng Lai House, Tin Shui Wai, Hong Kong",,,,
436,"1 Sheung Foo St, Ho Man Tin, Hong Kong",,,,
437,"St. Paul's Terrace, 42A Macdonnell Rd, Mid-Levels, Hong Kong",,,,
438,"20 Yau King Ln, Tai Po Kau, Hong Kong",,,,
439,"82 Jaffe Rd, Wan Chai, Hong Kong",,,,
440,"Rosewood Hong Kong No18, Salisbury Rd, Tsim Sha Tsui, Hong Kong",,,,
441,"Hing Wah (i) Estate Cheuk Wah House, 11 Wan Tsui Rd, Chai Wan, Hong Kong",,,,
442,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong","Tsing Lun Road, Tuen Mun, Hong Kong",,,
443,Hong Kong,,,,
444,"Regal Crest, 9 Robinson Rd, Mid-Levels, Hong Kong",,,,
445,"San Po Kong, Hong Kong",,,,
446,"Oi Man Estate Chiu Man House, No. 12 Hill, Hong Kong",,,,
447,"8 Pui Shing Rd, Hang Hau, Hong Kong",,,,
448,"9 Po Kin Road, Sheung Shui, Hong Kong",,,,
449,"Wing Ngai Mansion, 9-15 Luen On St, Ngau Tau Kok, Hong Kong",,,,
450,"379 Queen's Road Central, Hong Kong",,,,
451,"8 Mercer St, Sheung Wan, Hong Kong",,,,
452,"18 Eastern St, Sai Ying Pun, Hong Kong",,,,
453,"Yau Lai Estate Block A Nga Lai House, 9 Yau Tong Rd, Yau Tong, Hong Kong",,,,
454,"Yuen Long District, Hong Kong",,,,
455,"130 Hip Wo St, Kwun Tong, Hong Kong",,,,
456,"11號 Chuen On Rd, Tai Po, Hong Kong",,,,
457,"Sau Mau Ping Estate Sau Wah House, 101 Sau Mau Ping Rd, Sau Mau Ping, Hong Kong",,,,
458,"83 Sycamore St, Tai Kok Tsui, Hong Kong",,,,
459,"8 Yan King Rd, Yau Yue Wan, Hong Kong",,,,
460,"Peninsula Vill - Discovery Bay Twilight Court, 2 Caperidge Dr, Discovery Bay, Hong Kong","To Tei Wan, Hong Kong",,,
461,"21 Kung Lok Rd, Ngau Tau Kok, Hong Kong",,,,
462,"Abba House Block B, 227 Aberdeen Main Rd, Aberdeen, Hong Kong",,,,
463,"Scholastic Garden, 48 Lyttelton Rd, Mid-Levels, Hong Kong",,,,
464,"8 Kennedy Rd, Mid-Levels, Hong Kong",,,,
465,"Knutsford Court, 10 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
466,"Elm Tree Towers Block A, Chun Fai Rd, Jardine's Lookout, Hong Kong",,,,
467,"64-66D Mount Davis Rd, Mount Davis, Hong Kong","Central And Western District, Hong Kong",,,
468,"22 Hennessy Rd, Wan Chai, Hong Kong",,,,
469,"West Kowloon, Hong Kong",,,,
470,"Sun Tuen Mun Centre Block 2, Lung Mun Rd, Tuen Mun, Hong Kong",,,,
471,"16號 Fo Chun Rd, Tai Po, Hong Kong",,,,
472,"392 Reclamation St, Mong Kok, Hong Kong",,,,
473,"39 Kimberley Rd, Tsim Sha Tsui, Hong Kong",,,,
474,"The Palisades Block 1, 19 Pik Sha Rd, Clear Water Bay, Hong Kong",,,,
475,"67 S Bay Rd, Repulse Bay, Hong Kong",,,,
476,"Yick Shing Mansion, 238-240 Lockhart Rd, Wan Chai, Hong Kong",,,,
477,"1號日出康城 Lohas Park Rd, Tseung Kwan O, Hong Kong",,,,
478,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
479,"Riviera Gardens Block 16 Hoi Tsui Mansion, Yi Lok St, Riviera Gardens, Hong Kong",,,,
480,"Wai Hang St, Sai Wan Ho, Hong Kong",,,,
481,"84 Hung To Rd, Kwun Tong, Hong Kong",,,,
482,"21-29 Sui Wo Rd, Fo Tan, Hong Kong",,,,
483,"Tsz Ching Estate Ching Ming House, 80 Tsz Wan Shan Rd, Tsz Wan Shan, Hong Kong",,,,
484,"55 Wong Chuk Hang Rd, Aberdeen, Hong Kong",,,,
485,"1On, On Ping St, Sha Tin, Hong Kong",,,,
486,"22 Hennessy Rd, Wan Chai, Hong Kong",,,,
487,"Hiu Lai Court Block A Hiu Tin House, 21 Hiu Kwong St, Sau Mau Ping, Hong Kong",,,,
488,"Hiu Lai Court Block A Hiu Tin House, 21 Hiu Kwong St, Sau Mau Ping, Hong Kong",,,,
489,"Richland Gardens Block 19, 80 Wang Kwong Rd, Kowloon Bay, Hong Kong",,,,
490,"Wang Chiu Rd, Kowloon Bay, Hong Kong",,,,
491,"33 Tsing King Rd, Tsing Yi, Hong Kong",,,,
492,"及 16 號, 8 Hoi Ting Rd, Mong Kok, Hong Kong",,,,
493,"Super Tower, 17 Dianthus Rd, Yau Yat Chuen, Hong Kong",,,,
494,"Hin Keng Estate Hin Yeung House, 69 Che Kung Miu Rd, Tai Wai, Hong Kong",,,,
495,"Kam Fung Building, 171 Aberdeen Main Rd, Aberdeen, Hong Kong",,,,
496,"Willie Court, 49-59 Wai Ching St, Yau Ma Tei, Hong Kong",,,,
497,"Koon Fook Centre, 9 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
498,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
499,"Heng Fa Chuen Block 33, 100 Shing Tai Rd, Pak Sha Wan, Hong Kong",,,,
500,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
501,"130 Hip Wo St, Kwun Tong, Hong Kong",,,,
502,"130 Hip Wo St, Kwun Tong, Hong Kong",,,,
503,"63 Nathan Rd, Tsim Sha Tsui, Hong Kong",,,,
504,"130 Hip Wo St, Kwun Tong, Hong Kong",,,,
505,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong","Tsing Lun Road, Tuen Mun, Hong Kong",,,
506,"The Castello Block 2, 69 Siu Lek Yuen Road, Siu Lek Yuen, Hong Kong",,,,
507,"The University Of Hong Kong High West, 142 Pok Fu Lam Rd, Pok Fu Lam, Hong Kong",,,,
508,"Hing Lee Building, 2L-2N Cooke St, Hung Hom, Hong Kong",,,,
509,"Lung Hang Estate Wai Sum House, Fu Kin St, Tai Wai, Hong Kong",,,,
510,"Metroplaza Tower 2, 223 Hing Fong Rd, Kwai Fong, Hong Kong","Tsuen Wan, Hong Kong",,,
511,"Wai Ching Mansion, 56-68 Wai Ching St, Yau Ma Tei, Hong Kong",,,,
512,"Koon Fook Centre, 9 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
513,"28 Sheung Shing St, Ho Man Tin, Hong Kong",,,,
514,"21 Kung Lok Rd, Ngau Tau Kok, Hong Kong",,,,
515,"Shun Hing Building, 314-324B Ferry St, Mong Kok, Hong Kong",,,,
516,"280 Ki Lung St, Sham Shui Po, Hong Kong",,,,
517,"Telford Gardens Block Q2, 33 Wai Yip St, Kowloon Bay, Hong Kong",,,,
518,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
519,"Sorrento Tower 1, 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",,,,
520,"Lui Che Woo Clinical Sciences Building (Professorial Block), Ngan Shing St, Sha Tin, Hong Kong",,,,
521,"Centrestage Tower 1, 108 Hollywood Rd, Sheung Wan, Hong Kong",,,,
522,"Centrestage Tower 1, 108 Hollywood Rd, Sheung Wan, Hong Kong",,,,
523,"2號 Queen's Road Central, Central, Hong Kong",,,,
524,"Yick Shing Mansion, 238-240 Lockhart Rd, Wan Chai, Hong Kong",,,,
525,"Koon Fook Centre, 9 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
526,"Lui Che Woo Clinical Sciences Building (Professorial Block), Ngan Shing St, Sha Tin, Hong Kong",,,,
527,"239號 Queen's Rd E, Wan Chai, Hong Kong",,,,
528,"Ocean View Court, 21-27A Chatham Rd S, Tsim Sha Tsui, Hong Kong",,,,
529,"Princess Margaret Hospital, 2-10 Princess Margaret Hospital Road, Kwai Chung, Hong Kong",,,,
530,"Cheong Lok St, Jordan, Hong Kong",,,,
531,"Big Orange - Kwai Chung, Wo Yi Hop Rd, Kwai Chung, Hong Kong",,,,
532,"Shek Pai Wan Estate Block 4 Pik Shan House, 68 Yue Kwong Rd, Aberdeen, Hong Kong",,,,
533,"Fok Cheong Building, 1032-1044 King's Rd, Quarry Bay, Hong Kong",,,,
534,"32 Gough St, Central, Hong Kong",,,,
535,"Golden Jubilee House, 389-399 Lockhart Rd, Wan Chai, Hong Kong",,,,
536,"Ardshiel, 45 Plantation Rd, The Peak, Hong Kong",,,,
537,"Sausalito Tower 6, 1 Yuk Tai St, Ma On Shan, Hong Kong",,,,
538,"9 Kam Ying Rd, Ma On Shan, Hong Kong",,,,
539,"239 Queen's Rd W, Sai Ying Pun, Hong Kong",,,,
540,"Sai Kung, Hong Kong",,,,
541,"Honiton Building, 8 Honiton Rd, Mid-Levels, Hong Kong",,,,
542,"217 Des Voeux Road West, 217 Des Voeux Rd W, Sai Ying Pun, Hong Kong","217 Des Voeux Road West, 217 Des Voeux Rd W, Sai Ying Pun, Hong Kong",,,
543,"Central And Western District, Hong Kong",,,,
544,"15 Wang Kwong Rd, Kowloon Bay, Hong Kong",,,,
545,"Healey Building, 211-223 Castle Peak Road (Yuen Long), Yuen Long, Hong Kong",,,,
546,"Hai Wing Rd, Kwan Tei, Hong Kong",,,,
547,"豫苑 / EUSTON COURT, 6 PARK RD, MID-LEVELS, H.K, 6號 Park Road, Mid-Levels, Hong Kong",,,,
548,"Blossom Garden Block 2, 11 Leung Tak St, Tuen Mun, Hong Kong",,,,
549,"30 Fat Kwong St, Hok Yuen, Hong Kong",,,,
550,"12 Hung Lok Rd, Hung Hom Bay, Hong Kong",,,,
551,"Ha Hang, Hong Kong",,,,
552,"Provident Centre Block 1, 21 Wharf Rd, North Point, Hong Kong",,,,
553,"No.1 Dundas St, Mong Kok, Hong Kong",,,,
554,"Excelsior Court, 83 Robinson Rd, Mid-Levels, Hong Kong",,,,
555,"Queen's Road Central, 338 Queen's Rd W, Sai Ying Pun, Hong Kong",,,,
556,"Dorsett Wanchai, 387-397 Queen's Rd E, Wan Chai, Hong Kong",,,,
557,"33 Lai Ping Rd, Kau To Shan, Hong Kong",,,,
558,"The Dahfuldy, 21 Ho Man Tin Hill Rd, Ho Man Tin, Hong Kong",,,,
559,"239 Queen's Rd W, Sai Ying Pun, Hong Kong",,,,
560,"2 Hoi Chu Rd, Tuen Mun, Hong Kong",,,,
561,"Beverly Garden Block 4, 1 Tong Ming St, Tseung Kwan O, Hong Kong",,,,
562,"Fairview Height Block 1, 1 Seymour Rd, Mid-Levels, Hong Kong",,,,
563,"Academic Terrace Block 2, 101 Pok Fu Lam Rd, Kennedy Town, Hong Kong",,,,
564,"The Castello Block 2, 69 Siu Lek Yuen Road, Siu Lek Yuen, Hong Kong",,,,
565,"32 Lyttelton Rd, Mid-Levels, Hong Kong",,,,
566,"101 Ki Lung St, Prince Edward, Hong Kong",,,,
567,"Heng Fa Chuen Block 41, 100 Shing Tai Rd, Pak Sha Wan, Hong Kong",,,,
568,"Lohas Park, Hong Kong",,,,
569,"Galaxia Block E, 3 Lung Poon St, Tai Hom, Hong Kong",,,,
570,"Pine Crest, 65 Repulse Bay Rd, Repulse Bay, Hong Kong",,,,
571,"1 Hong Lee Rd, Ngau Tau Kok, Hong Kong",,,,
572,"Koon Fook Centre, 9 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
573,"Tseung Kwan O, Hong Kong",,,,
574,"Monticello, 48 Kennedy Rd, Mid-Levels, Hong Kong",,,,
575,"76 Jaffe Rd, Wan Chai, Hong Kong",,,,
576,"Golden Valley Mansion, 135-137A Caine Rd, Tai Ping Shan, Hong Kong",,,,
577,"Golden Valley Mansion, 135-137A Caine Rd, Tai Ping Shan, Hong Kong",,,,
578,"Golden Valley Mansion, 135-137A Caine Rd, Tai Ping Shan, Hong Kong",,,,
579,"Tai Hing Estate Hing Shing House, 4 Tai Hing St, Tuen Mun, Hong Kong",,,,
580,"Koon Fook Centre, 9 Knutsford Terrace, Tsim Sha Tsui, Hong Kong",,,,
581,"Block H, Tsing Chung Koon Rd, Tuen Mun, Hong Kong","Tsing Lun Road, Tuen Mun, Hong Kong",,,
582,"Provident Centre Block 4, 27 Wharf Rd, North Point, Hong Kong",,,,
583,"One Pacific Place, 88 Queensway, Admiralty, Hong Kong","One Pacific Place, Admiralty, Hong Kong",,,
584,"15號 Canal Rd E, Bowrington, Hong Kong",,,,
585,"Central Park Block 1, 18 Hoi Ting Rd, Mong Kok, Hong Kong",,,,
586,"Kong Ha, Hong Kong",,,,
587,"Kong Ha, Hong Kong",,,,
588,"310 Gloucester Rd, Causeway Bay, Hong Kong",,,,
589,"1 Hong Lee Rd, Ngau Tau Kok, Hong Kong",,,,
590,"1 Sceneway Rd, Sceneway Garden, Hong Kong",,,,
591,"Victoria Centre Block 3, 15 Watson Rd, Causeway Bay, Hong Kong",,,,
592,"Yuen Long, Hong Kong",,,,
593,"21 Prat Ave, Tsim Sha Tsui, Hong Kong",,,,
594,"Monterey Villas Block B, 12 Po Peng St, Peng Chau, Hong Kong",,,,
595,"8 Tin Shui Rd, Tin Shui Wai, Hong Kong",,,,
596,"84 Hung To Rd, Kwun Tong, Hong Kong",,,,
597,"City One - Shatin Block 8, 5 Tak Kei St, City One - Shatin, Hong Kong",,,,
598,"38 San Wan Rd, Fanling, Hong Kong",,,,
599,"Tseung Kwan O, Hong Kong","Wan Po Rd, Siu Chik Sha, Hong Kong",,,
600,"238 Jaffe Rd, Wan Chai, Hong Kong",,,,
601,"Union Square, Sorrento Tower 1, 1 Austin Rd W, West Kowloon, Hong Kong",,,,
602,"8 Muk Ning St, Kai Tak, Hong Kong",,,,
603,"23號 Austin Ave, Tsim Sha Tsui, Hong Kong",,,,
604,"4 Robinson Rd, Mid-Levels, Hong Kong",,,,
605,"Shining Building, 477-481 Jaffe Rd, Causeway Bay, Hong Kong",,,,
606,"18A Castle Peak Road (Tsing Lung Tau), Tsing Lung Tau, Hong Kong",,,,
607,"Block G, Town Centre, Fairpark Boulevard, Yuen Long, Hong Kong",,,,
608,"Kwun Hei Court Block A, 3 Sheung Lok St, Quarry Hill, Hong Kong",,,,
609,"Kak Tin Village, Siu Lek Yuen Rd, Tai Wai, Hong Kong",,,,
610,"4 Argyle St, Mong Kok, Hong Kong",,,,
611,"Elm Tree Towers Block A, Chun Fai Rd, Jardine's Lookout, Hong Kong",,,,
612,"Elm Tree Towers Block A, Chun Fai Rd, Jardine's Lookout, Hong Kong",,,,
613,"Kai Tsui Court Block B Yiu Tsui House, 16 Siu Sai Wan Rd, Siu Sai Wan, Hong Kong",,,,
614,"Wong Nai Tun Tsuen, Hong Kong",,,,
615,"Scenic Villa Block A-B, 2-28 Scenic Villa Dr, Sandy Bay, Hong Kong",,,,
616,"Devon Court, 16 Cornwall St, Beacon Hill, Hong Kong","Kowloon Tong, Hong Kong",,,
617,"Wing Wah Mansion, 425G-425K Queen's Rd W, Sai Wan, Hong Kong",,,,
618,"7 On Po Ln, Tai Po, Hong Kong",,,,
619,"7 On Po Ln, Tai Po, Hong Kong",,,,
620,"Hong Kong, Causeway Bay, Leighton Hill Rd, 樂活道2B",,,,
621,"Elm Tree Towers Block A, Chun Fai Rd, Jardine's Lookout, Hong Kong",,,,
622,"6 Ying Hong St, Tung Chung, Hong Kong",,,,
623,"Tierra Verde Block 1, Tsing King Rd, Tsing Yi, Hong Kong","33 Tsing King Rd, Tsing Yi, Hong Kong",,,
624,"Tai Po District, Hong Kong",,,,
625,"Hang Shun Mansions, 68-82 Jaffe Rd, Wan Chai, Hong Kong",,,,
626,"Sun On Building, 484-496 Queen's Rd W, Sai Wan, Hong Kong",,,,
627,"New Jade Garden Block 2, 233 Chai Wan Rd, Chai Wan, Hong Kong",,,,
628,"Shek Kip Mei Estate Mei Sang House, Sham Shui Po, Hong Kong",,,,
629,"Hang Shun Mansions, 68-82 Jaffe Rd, Wan Chai, Hong Kong",,,,
630,"70 Robinson Rd, Mid-Levels, Hong Kong",,,,
631,"Siu Kwai Court Siu Fu House, 2 Tin King Rd, Tuen Mun, Hong Kong",,,,
632,"Casa De Oro Block 6, 23 Hung Shui Kiu Main St, Hung Shui Kiu, Hong Kong",,,,
633,"111－133 Kadoorie Ave, Kadoorie Hill, Hong Kong",,,,
634,Hong Kong,,,,
635,Hong Kong,,,,
636,"Po Tat Estate Block A Tat Hei House, 2 Po Lam Rd, Sau Mau Ping, Hong Kong",,,,
637,"Po Hong Mansion, 70 Kwong Fuk Rd, Tai Po, Hong Kong",,,,
638,"Lok Wah North Estate Kan Wah House, 70 Chun Wah Rd, Ngau Tau Kok, Hong Kong",,,,
639,"The Morgan, 31 Conduit Rd, Mid-Levels, Hong Kong",,,,
640,"Hong Kong, Chek Lap Kok, 國泰城",,,,
641,Hong Kong,,,,
642,"Sheung Heu Building, 4-6 Ting Yue Square, Ngau Tau Kok, Hong Kong",,,,
643,"8 Kennedy Rd, Mid-Levels, Hong Kong",,,,
644,"Pictorial Garden Belleve Court, 19-21 On King St, Sha Tin, Hong Kong",,,,
645,"Caribbean Coast, Hong Kong",,,,
646,"1 Harbour Rd, Wan Chai, Hong Kong",,,,
647,"310 Gloucester Rd, Causeway Bay, Hong Kong",,,,
648,"114 Broadway, Lai Chi Kok, Hong Kong",,,,
649,"148 Austin Rd, Tsim Sha Tsui, Hong Kong",,,,
650,"Caribbean Coast Phase 3 Carmel Cove Tower 11, 1 Kin Tung Rd, Caribbean Coast, Hong Kong",,,,
651,"Cheung On Estate Block 4 On Tao House, 1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",,,,
652,"23號 Austin Ave, Tsim Sha Tsui, Hong Kong",,,,
653,"Tseung Kwan O, Hong Kong",,,,
654,"Provident Centre Block 8, 35 Wharf Rd, North Point, Hong Kong",,,,
655,"100 Shing Tai Rd, Pak Sha Wan, Hong Kong",,,,
656,"Hong Kong, 禮頓山禮頓道8號8號 59864",,,,
657,"Tsing Sum St, Tsing Yi, Hong Kong",,,,
658,"Cheung On Estate Block 4 On Tao House, 1 Tam Kon Shan Rd, Tsing Yi, Hong Kong",,,,
659,"2 Mau Lam St, Yau Ma Tei, Hong Kong",,,,
660,"Parkview Corner - Hong Kong Parkview Block 17, Tai Tam Reservoir Rd, Happy Valley, Hong Kong",,,,
661,"8 Yat Tung St, Yat Tung Estate, Hong Kong",,,,
662,"Fu Cheong Estate Fu Loy House, 19 Sai Chuen Rd, Sham Shui Po, Hong Kong",,,,
663,"Kingston Lodge, 5 Kong Pui St, Sha Tin Wai, Hong Kong",,,,
664,"Sorrento Tower 1, 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",,,,
665,"Sorrento Tower 1, 1 Austin Rd W, Tsim Sha Tsui, Hong Kong",,,,
666,"Chek Nai Ping, Hong Kong",,,,
667,"Elegant Terrace, 13 Village Terrace, Happy Valley, Hong Kong",,,,
668,"22 Lai Chi Kok Rd, Mong Kok, Hong Kong",,,,
669,"Ko Po Tsuen, Hong Kong",,,,
670,"18號 Pak Pat Shan Rd, Red Hill, Hong Kong",,,,
671,"41 Salisbury Rd, Tsim Sha Tsui, Hong Kong",,,,
672,"11 Great George St, Causeway Bay, Hong Kong",,,,
673,"Cheung Wah Estate Cheung Chi House, 38 San Wan Rd, Fanling, Hong Kong",,,,
674,"Hong Kong Skycity Marriott Hotel, 1 Sky City Rd E, Chek Lap Kok, Hong Kong",,,,
675,"Taikoo Shing, On Shing Terrace Ko On Mansion, 9 Tai Yue Ave, Taikoo Shing, Hong Kong",,,,
676,"Aberdeen, Hong Kong",,,,
677,"Lower Wong Tai Sin Estate Lung Wah House, 3 Tai Shing St, Chuk Un, Hong Kong",,,,
